"Huldrych Zwingli","1481-1-1"," Swiss Protestant reformer"
"Paul Revere","1735-1-1"," US patriot and The British are coming"
"General Anthony Wayne","1745-1-1"," military leader ("Mad Anthony")"
"Elizabeth Griscom","1752-1-1"," (Betsy) Ross--flag maker"
"Arthur Hugh Clough","1819-1-1"," poet and friend of Matthew Arnold"
"Sir James Frazer","1854-1-1"," British anthropologist and author (The Golden Bough)"
"Alfred Stieglitz","1864-1-1"," father of modern photography"
"Lew Fields","1867-1-1"," comedian (of Weber & Fields)"
"Mariano Azuela","1873-1-1"," Mexican novelist (The Flies and The Bosses)"
"E.M. Forster","1879-1-1"," English novelist (Howard's End and A Passage to India)"
"J Edgar Hoover","1895-1-1"," Mr FBI"
"Xavier Cugat","1900-1-1"," Bandleader"
"Barry Goldwater (R)","1909-1-1"," former US senator from Arizona and radio amateur"
"Dana Andrews","1909-1-1"," Actor (Battle of the Bulge and Laura)"
"John Glenn","1909-1-1"," astronaut"
"Hank Greenberg","1911-1-1"," Detroit Tiger Hall of Famer"
"Carole Landis","1919-1-1","Carole Landis"
"J D Salinger","1919-1-1"," author of 'Catcher in the Rye'"
"Ernest Hollings (D)","1922-1-1"," US senator from SC"
"George Conner","1925-1-1"," NFL tackle and linebacker (Chicago Bears)"
"Yuri Grigorovich","1927-1-1"," Russian choreographer"
"Terry Moore","1932-1-1"," in Los Angeles Calif"
"Country Joe McDonald","1942-1-1","Country Joe McDonald"
"Gennadi V. Sarafanov","1942-1-1"," Soviet cosmonaut (Soyuz 15)"
"Nathaniel Bacon","1647-1-2"," leader of Bacon's Rebellion of Va. (1676)"
"James Wolfe","1727-1-2"," commander of British Army at capture of Quebec"
"Helen Herron Taft","1861-1-2"," 1st lady"
"Lucia Zarate","1863-1-2"," became lightest known adult human (2.1 kg at 17)"
"Isaac Asimov","1920-1-2"," scientist-writer"
"Renata Tebaldi","1922-1-2"," lyric soprano"
"Gino Marchetti","1927-1-2"," NFL defensive end (Dallas Texans and Baltimore Colts)"
"Richard Belmont Ray","1927-1-2"," Democrat-Georgia"
"Roger Miller","1936-1-2"," singer (King of the Road)"
"Cicero","106-1-3"," Roman statesman"
"Juan Cabrillo","1543-1-3"," discoverer of California"
"Lucretia Coffin Mott","1793-1-3"," Woman's right leader"
"Father Damien","1840-1-3"," helped lepers in Hawaii"
"Henry Handel Richardson","1870-1-3"," Australian novelist (Richard Mahoney)"
"Grace Anna Goodhue Coolidge","1879-1-3"," 1st lady"
"Clement R. Attlee (Labour)","1883-1-3"," British prime minister (1945-51)"
"J.R.R. Tolkien","1892-1-3"," REAL Lord of the Rings"
"Ray Milland","1905-1-3"," Actor (Dial M for Murder and The Lost Weekend)"
"Victor Borge","1909-1-3"," pianist and comedian--Denmark"
"Betty Furness","1916-1-3"," in NYC"
"Maxine Andrews","1918-1-3"," of singing Andrew Sister"
"Jeanne Moreau","1928-1-3"," in Paris France"
"Robert Loggia","1930-1-3"," Actor (1st Love and An Officer & a Gentleman)"
"Bobby Hull","1939-1-3"," hockey player"
"Stephen Stills","1945-1-3"," singer and songwriter"
"Melanie (Safka)","1947-1-3"," in Astoria Queens"
"Victoria Principal","1950-1-3"," Actress (Earthquake and Dallas) in Japan"
"Bishop James Ussher","1581-1-4"," calculated that earth began Nov. 23-4004 BC"
"Sir Issac Newton","1643-1-4"," scientist (Whatever goes up)"
"Jacob Grimm","1785-1-4"," German librarian and philologist and fairy tale collector"
"Benjamin Lundy","1789-1-4"," philanthropist and abolitionist"
"Wilhelm Beer","1797-1-4"," German amateur who helps to construct 1st moon map"
"Louis Braille","1809-1-4"," developed reading system for blind"
"Sir Issac Pitman","1813-1-4"," shorthand inventor"
"Charles Stratton","1838-1-4"," (alias General Tom Thumb and famous short person)"
"Jane Wyman","1914-1-4"," in St Joseph Missouri 1st Mrs Ronald Reagan"
"Barbara Rush","1930-1-4"," in Denver Colorodo (Hombre and When Worlds Collide)"
"Don Shula","1930-1-4"," NFL coach (Miami Dolphins)"
"Sorrell Brooke","1930-1-4"," Actor"
"Floyd Patterson","1935-1-4"," world heavyweight champ (1956-59 and 1960-62)"
"Dyan Cannon","1937-1-4"," Former Mrs Cary Grant and Actress in Tacoma Wash"
"Tom Wilkinson","1943-1-4"," CFL quarterback (Edmonton Eskimos)"
"Shah Jahan","1592-1-5"," Mughal emperor of India (1628-58) and builder of Taj Mahal"
"Stephen Decatur","1779-1-5"," early American Naval hero"
"Rudolf Eucken","1846-1-5"," German Idealist philosopher (Nobel 1908)"
"King Camp Gillette","1855-1-5"," inventor of safety razor"
"Konrad Adenauer","1876-1-5"," German Chancellor"
"Jeannette Piccard","1895-1-5"," balloonist and Episcopal priest"
"Jean-Pierre Aumont","1911-1-5"," Actor (Cat & Mouse and Happy Hooker)"
"Jean","1921-1-5"," )"
"Nellie Tayloe Ross","1925-1-5"," 1st woman governor of Wyoming"
"Claude (Buddy) Young","1926-1-5"," NFL running back (Yankees and Texans and Colts)"
"Walter Mondale (D)","1928-1-5"," 42nd US vp (1977-81)"
"Jim Otto","1938-1-5"," NFL center (Oakland Raiders)"
"Juan Carlos I","1938-1-5"," )"
"Dany Saval","1940-1-5","Dany Saval"
"Diane Keaton","1946-1-5"," Actress (Annie Hall and Little Drummer Girl) LA"
"Pamela Sue Martin","1954-1-5","Pamela Sue Martin"
"Joan of Arc","1412-1-6"," martyr"
"Jedediah Smith","1799-1-6"," fur trader and explorer"
"Charles Sumner","1811-1-6"," leading Reconstruction Senator"
"Gustave Dore","1823-1-6"," illustrator (Inferno and Rime of Ancient Mariner)"
"Max Bruch","1838-1-6"," German composer"
"Clarence King","1842-1-6"," geologist and mining engineer"
"Sherlock Holmes","1854-1-6"," according to Arthur Conan Doyle"
"Aleksandr Scriabin","1871-1-6"," Russian composer"
"Carl Sandburg","1878-1-6"," poet and biographer of Lincoln (The People and Yes)"
"Tom Mix","1880-1-6"," silent screen cowboy Actor (Dick Turpin)"
"Samuel Rayburn (D)","1882-1-6"," speaker of House (1940-57)"
"Khalil Gibran","1883-1-6"," Lebanese mystic poet (The Prophet and Broken Wings)"
"Joey Adams","1911-1-6"," comedian"
"Loretta Young","1913-1-6"," (Farmer's Daughter and Stranger) in Salt Lake City"
"Danny Thomas","1914-1-6"," comedian and Actor"
"Don Edwards (D)","1915-1-6"," US representative from California"
"Sun Myung Moon","1920-1-6"," evangelist (Unification Church)"
"Earl Scruggs","1924-1-6"," bluegrass musician"
"Sylvia Sims","1934-1-6","Sylvia Sims"
"Bonnie Franklin","1945-1-6"," TV Actress (One Day at a Time) in Santa Monica"
