"Giuseppe Piazzi discoved 1st asteroid later named Ceres","1801-1-1",""
"United Kingdom of Great Britain & Ireland established","1801-1-1",""
"Haiti gains independence from France (National Day)","1804-1-1",""
"Congress prohibits importation of slaves","1808-1-1",""
"Britain takes Mosquito Coast from Nicaragua","1848-1-1",""
"Emancipation Proclamation issued by Lincoln","1863-1-1",""
"Brooklyn merges with NY to form present City of NY - Ellis Island became reception center for new immigrants","1892-1-1",""
"Manchester Ship Canal in England opened to traffic","1894-1-1",""
"Lightship replaces whistling buoy at mouth of SF Bay","1898-1-1",""
"Cuba liberated from Spain by US (National Day)","1899-1-1",""
"Commonwealth of Australia established","1901-1-1",""
"1st Rose Bowl game held in Pasadena California","1902-1-1",""
"1st running of SF's famed "Bay to Breakers" race (763 miles)","1912-1-1",""
"Post office begins parcel post deliveries","1913-1-1",""
"Alcatraz officially becomes a Federal Prison","1934-1-1",""
"Federal Deposit Insurance Corp (US bank guarantees) effective","1934-1-1",""
"1st newspaper to microfilm its current issues NY Herald Tribune","1936-1-1",""
"Emperor Hirohito of Japan announces he is not a god","1946-1-1",""
"1st newsreel in color Pasadena Ca","1948-1-1",""
"Rose & Cotton Bowl are 1st sport colorcasts","1954-1-1",""
"Sudan gains independence from Britain (National Day)","1956-1-1",""
"International Geophysical Year begins; ends 6/30/1958","1957-1-1",""
"European Economic Community (Common Market) starts operation","1958-1-1",""
"Cameroon gains independence from France","1960-1-1",""
"Beatles Decca audition","1962-1-1",""
"Western Samoa gains independence from New Zealand","1962-1-1",""
"International Cooperation Year","1965-1-1",""
"Cigarette advertisements banned on TV","1971-1-1",""
"International Book Year","1972-1-1",""
"Britain Ireland & Denmark join Common Market","1973-1-1",""
"World Population Year","1974-1-1",""
"International Women's Year","1975-1-1",""
"Pres. Ford signs 1st major revision of copyright law since 1909","1978-1-1",""
"International Year of the Child","1979-1-1",""
"Decade of Water & Sanitation","1980-1-1",""
"International Year for Disabled","1981-1-1",""
"Palau (Trust Territory of Pacific Is.) becomes self-governing","1981-1-1",""
"World Communications Year","1983-1-1",""
"AT & T broken up into 8 companies","1984-1-1",""
